contentId,locale,productFamily,productVersion,redirectPatternId,redirectUrl
ms252443,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#registerdb
ms252443,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#registerdb
ee349262,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#remapdbs
ee349262,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#remapdbs
ee349262,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#remapdbs
bb778396,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#settings
bb778396,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#settings
bb778396,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#settings
dn789838,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#tcm
dn745593,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#unattend
ff407078,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#updates
ff407078,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#updates
ff407078,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfsconfig-cmd#updates
ms252504,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd
ms252504,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd
ms252504,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd
ms252504,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd
ms252504,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd
ms400692,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd
ms400692,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd
ms400692,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd
ms400692,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd
ms400692,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd
ms400715,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#aplus
ms400715,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#aplus
ms400715,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#aplus
ms400715,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#aplus
ms400715,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#aplus
ms400690,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#aminus
ms400690,all,VS,110,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#aminus
ms400690,all,VS,100,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#aminus
ms400690,all,VS,90,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#aminus
ms400690,all,VS,80,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#aminus
ms400678,all,VS,120,2,https://msdn.microsoft.com/Library/vs/alm/TFS/administer/command-line/tfssecurity-cmd#acl
